Major,Minor / Specialization,Graduation Year,Prior Degrees,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Employment - Title,Employment - Exp.,Skills - Computer,Skills - Language,Skills - Personal,Courses,Projects
Economics; Strategic Communication,,12/2016,,Student Assistant,Assist with daily bookkeeping procedures; Responsible for documenting and organizing incoming samples of apparel and merchandise; Manage and maintain in-office displays of merchandise; Resolve client inquiries and problems via telephone,Intern,Aided in a large department transition from paper files to digital backup; Quickly became accustomed to a proprietary computer program for organizing building documents; Handled the administrative and clerical duties of the position efficiently and effectively,Treasurer/Co-Founder,Collaborating with numerous OSU faculty members to create a student-run food bank for the campus community; Responsible for all accounting and bookkeeping for the organization; In charge of the group's Facebook page and Twitter account,"MS Office, Prezi, AP style writing, and various forms of social media",,Work well within teams and on my own; Adept at planning and prioritizing tasks; Capable of processing information quickly; Able to communicate effectively both verbally and in writing,,
Data Analytics,Public Health,5/2018,,Member Services Assistant,Regulates access into the largest gym on campus by swiping patrons’ cards,Customer Service Specialist,Assists customers to purchase merchandise; Maintains product presentation,Pure Water Access Project,"Researches clean water interventions for a 501(c)(3) student run non-profit organization; Use quantitative and qualitative research to better understand the unique social, cultural, and economic dynamic within a given area in order to overcome barriers to sustainable implementation","Java programming, Statistical Analysis, JMP, SPSS, R programming",,,,
Economics,,5/2016,"Associate, Business Administration",Strategic Intelligence Advisor,Served as junior intelligence advisor to senior military personnel in all matters pertaining to future enemy analysis; Collaborated with senior military and government personnel to provide long-term solutions to problems in combat operations; Prepared written assessments on future enemies for use by senior military personnel; Led a team of 12 military personnel in support of combat operations in Afghanistan.,Geospatial Intelligence Analyst,"Gathered and analyzed enemy operations data for senior military personnel; Developed and evaluated combat operation models using Geospatial Intelligence software; Trained over 50 military personnel in effective use of Military Intelligence software; Presented Intelligence reports, plans, and briefings to senior military and government personnel",Team Leader,"Promoted to rank of Sergeant, based on communication and leadership skills; Responsible for leading, training, and maintaining welfare of 12 military personnel; Collaborated with team members and senior military personnel to achieve organizational goals; Demonstrated time management and organizational skills while balancing accountability of personnel and military equipment in excess of 15 million dollars.",,,,,
Economics,Entrepreneurship,12/2015,,Sales Associate,Addressed customers and assisted in helping them search for clothing leading to sales and suggested merchandise based on customer needs and desires which led to sales of overlooked merchandise; Answered questions concerning the store and its unique merchandise aimed towards the younger demographic; Watched for and identified security risks and thefts by would-be shoplifters leading to minimal losses in revenue.,Lifeguard,"Examine injured pool guests and administered first aid or CPR, if necessary, using training and medical supplies and equipment to support guests breathing/survival; Warne guests of inclement weather, unsafe areas, or illegal conduct to preserve all guests and personnel safety; Observe activities in assigned areas to detect hazards, disturbances, or safety infractions that could impair a guests’ health.",Kids MMA/Boxing Coach,"Provided training direction, encouragement, and motivation to young children to build confidence in them; Created a friendly environment to ease any anxiety children might have about fighting;   Organized and conducted daily practice sessions to maintain young children’s attention; Explained and enforced safety rules and regulations to avoid any physical injuries; Instructed children in MMA/boxing rules and strategies such as specific ways of moving the body, hands, or feet, to achieve desired results.",Microsoft Word and Microsoft PowerPoint,Spanish,,,
Data Analytics,,5/2018,,Percussion Lesson Instructor,"Develop and execute curriculum to aid students in learning drum set, snare drum, and mallet instruments; Help students prepare for tryouts into school band and honor bands; Assist in day-to-day management of the store front by assisting and checking out customers",Student Assistent,Assisted in the organization and basic analysis of data sets using Microsoft Access and Excel; Created an online forum for students and researchers to collaborate and ask questions; used Joomla and additional HTML/CSS and PHP; Constructed a training presentation to aid lab workers and graduate students in their use of Microsoft Access for data management and manipulation; Developed content for prospective student events at the lab,,,"Intermediate Skills in Java, HTML/CSS, Intermediate Skills in MS Access, Proficient in MS Word & PowerPoint, Proficient in R",,,,
Political Science; Economics,Engineering Sciences,12/2017,,Intern,"Conducted legal research, created spreadsheets, contacted students, digitally completed records entry, and participated in OPOTA meetings, intern development training, and peace officer training courses; Gained valuable legal experience with a law enforcement perspective        
                            ",Intern,"Gained office and political policy experience; Completed various writing and research projects, took phone calls, contacted constituents, and updated and filed information for the Senator; Earned Gluck-Asher scholarship as a result of work completed over the semester                     ",Intern,"Gained campaign experience; Made political calls and signs, gathered political information, and helped set up events for the candidate; Gained experience with conflict resolution and time management","Microsoft Word, Excel, PowerPoint, R, Outwit Hub, Prezi, MATLAB, C++, Solidworks                                                                                                                                            ",speak basic Spanish                         ,,Data Visualization ,"Created and analyzed data visualizations comparing national and state statistics on employment, unemployment, debt, real GDP per capita, and economic growth by state and political party."
Economics,,12/2015,"Associate, Applied Science",Administrative Professional,"Primary provider of customer support to over 300 agents and managers throughout the country; Lead weekly web-based training for new agents and provide one-on-one training when necessary; Created a reference guide to explain company policies and procedures to agents; Produce weekly PowerPoint presentation, coordinate guest speakers and provide administrative updates for national sales meeting; Using Excel, generate weekly, monthly and quarterly production reports",Real Estate Salesperson,"Successfully closed over $9 million in sales by establishing and maintaining relationships with clients; Researched, compiled and analyzed sales data to provide Broker’s Price Opinions to banks and asset management companies; Worked with loan officers, underwriters, title companies and inspectors to ensure deadlines were met; Acted as an intermediary between buyers and sellers during negotiations; Advised clients on mortgage programs and procedures, such as FHA, VA, USDA and conventional loans; Assisted buyers in locating appropriate resources for their situation, including local down payment assistance programs, first-time homebuyer programs, FHA 203k loans, etc.",Office Manager,"Compiled data and analyzed trends to prepare monthly, quarterly and annual budgets and projections; Implemented new invoicing procedures to improve cash flow; Using Great Plains, responsible for accounting duties including accounts receivable, accounts payable and tracking job costs for two office locations (Columbus OH and Rochester NY); Composed and edited standard business correspondence, internal memos and spreadsheets; Collaborated with the Director of Marketing to produce marketing materials and submit proposals",,,,,
Data Analytics; Actuarial Science,Entrepreneurship,5/2017,,Technology Analyst Intern,Examined current processes in data warehouse environments to provide innovative solutions for better runtimes; Restructured chargeback report so it pulled data from a variety of sources to account for all costs of provided services; Produced visual representations using Tableau and R to be presented to senior level managers,Research Analyst Intern,"Conceptualized an exploratory study that examined video recordings of cognitive interviews to model effective probing methods; Utilized Java, SAS, and R to independently compare two organizational systems in a 2014 Feasibility Study; Presented findings at the Census Bureau to educate professionals about improvements to be made with current procedures",Immunology Intern,"Designed and implemented experiments to test the importance of Ezrin’s role in development of Lupus, an autoimmune disorder; Communicated my results to audiences with and without advanced understanding of medical terminology; Improved protocol efficiency by explicitly assessing existing steps and analyzing alternate possibilities","Java, R, SAS, HTML, Google Analytics, Tableau Software, Microsoft Office, Adobe Suite, Lightroom 4.3",,"Leadership, Analysis, Communication, Strategic Planning, Adaptability, Focus, Maximization, Ideation",,
Actuarial Science,,5/2016,,Warehouseman,Assembled various types of fitness equipment; Recorded inbound and outbound orders for inventory,Sales Cashier,"Operated cash register, restocked, cleaned, and closed the store; Assisted travelers by giving clear, concise directions; Cook food at different stations when needed; Monitored food temperatures to ensure they were compliant with FDA regulations; Collaborated with coworkers to deliver high levels of customer satisfaction",,,,,,,
Economics,"Spanish, Computer Information Science",5/2017,,Political Data / Targeting Intern,Coordinate use of voter database by municipal election campaigns across the state for them to gain insight into voter preferences; Ensure data validity when taking inputs from 88 county party organizations and election commissions; Consolidate party volunteer files across multiple campaign accounts to maximize efficiency; Code VBA macros in Excel to efficiently format and manipulate multiple large input files for entry into the party’s VAN system,Business Analytics Intern                                                                                                                                                                 ,Streamlined the process for analyzing risk vendor effectiveness by using Excel to cross-reference transaction data provided by the vendor with ACH return metrics and automatically tabulate and analyze results; Summarized results of this quantitative risk analysis to create reports and communicate recommendations to upper management; Designed use cases and system architecture based on management guidance in Visio to aid in the development of an improved payment processing engine,Systems Analytics                                                                                                                   ,"Aggregated data to generate sales forecasts and bill of lading reports for senior management; tested and provided error solutions for an Amazon AWS-based motorcycle marketing web application; Researched and compiled hardware requirement scenarios and analyzed risks for motorcycle show events; Managed company Stock & Flow Access database, updating monthly to generate reports; Assisted analysts in consulting an outside vendor to revamp and tie-in CRM and OEM parts management systems; Gained valuable experience working with the Iterative model of the Systems Development Lifecycle; Expanded knowledge of Relational Database Management Systems and Entity Relationship Diagramming","Skilled in Microsoft Excel, Word, Powerpoint, Outlook, Visio, Stata, Java, and C++; Basic proficiency in SQL, HTML, Python, Microsoft Access, ActiveX Controls, Relational Database Management, Web Application Architecture, and Pivot Tables",Professional fluency in Spanish,,,Director of Fundraising for student organization’s annual fundraising gala to provide exposure for the organization to top members of state and local politics; Oversaw the generation of $800 in revenue in less than one academic year in the position
Actuarial Science,,5/2018,,Soccer Referee,"Assigned to administrate games for boys/girls from ages 6 to 18; Worked with families, coaches, parents, and kids in enforcing the rules of soccer; Learned quick decision-making skills and ethical lessons",Student Page,Learned cooperation with fellow co-workers about scheduling and management techniques; Accomplished efficient time management skills by working in different parts of the library at different times,Slide Attendant,Designated to oversee the slides and the public pool; Gained valuable knowledge about interacting with members of my community; Learned important lessons on safety and ways to avoid accidents,"Experienced in C++ Programming, Microsoft Word, Microsoft Excel, and Microsoft PowerPoint",,,,
Economics,Business,5/2016,,Sales and Delivery Manager  ,Managed the Delivery and Sales Teams for group of five franchise stores; Developed System to deal with high-volume demand during Holidays; Consistently brought in above average sales numbers; Trained sales and delivery staff,Delivery Driver     ,"Delivered products in an efficient and timely manner; Provided excellent face-to-face and over the phone customer service; Worked with Team Members to provide fast, quality service",Support Services Employee   ,Delivered sensitive files throughout the state; Maintained files in a large warehouse setting; Lead teams on special construction and maintenance projects,"STATA, R, Minitab; Word, Excel, PowerPoint, Access, Outlook",,,"Economic Models & Forecasting, Business Communications, Foundations of Accounting and Finance, Probability and Statistics",
Economics,,12/2015,,Guest Service Associate,"Work successfully in team-like environment; Collect and monitor up to $1000 cash at a time per shift; Establish customer service skills and build goodwill to encourage return-customers; Communicate and record customer transactions within hotel software; Travel in an assigned task force to assist struggling properties and implement effective systems; Park and retrieve cars at guests demand while presenting them optimal customer service; Greet, Interact, and provide general assistance to guests",Summer Intern,"Assisted, interacted and supported members in the design studio of the company while relaying information to factory employees; Supported, oversaw other factory employees in order to accomplish management goals; Developed understanding of business functionality through participation in regular meetings and conference calls; Managed truck load efficiency and reported to management",,,"Excel, Word, PowerPoint, Outlook, Access",Spanish,,,
Actuarial Science;  Mathematics,,5/2017,,Personal Lines Actuarial Intern,Utilized both Microsoft Excel and SAS to complete rate revisions; Produced indications for a variety of states and products; Worked closely with interns throughout the company to create an intern project; Composed documentation on the rate revision process to help future new hires,Community Relations Specialist,"Resolved member and guest’s problems both in-­?office and over the telephone; Trained and supervised other employees; Conducted routine accuracy checks for over 100,000 memberships",,,"Access, Excel, Outlook, PowerPoint, Word; SAS, MATLAB, HTML, PHP, JavaScript",,,"Probability and Statistics, Scientific Computing, Differential Equations, Spreadsheets and Databases, Theory of Interest, Linear Algebra",
Economics; Linguistics,,5/2017,,Junior Wealth Advisor,Gathered research on new products as well as stocks to offer to clients; Developed mailings to send to new clients informing them about products and services; Contacted clients to update them on the status of their accounts; Streamlined and updated filing system for office paperwork,Material Handler ,Operated motorized pallet jack to gather materials from the warehouse; Loaded and unloaded trucks with plumbing materials; Motivated others and helped company achieve production and safety goals,Valet Attendant ,Provided friendly customer service and familiarized customers with the valet process; Collaborated with other valets to achieve the most efficient way to park vehicles; Guided new valets on proper procedures when handling customers vehicles,"Proficient in Microsoft Word, Excel, PowerPoint, Access, Outlook? Minitab? proficient with internet research skills",Swahili? Basic Spanish,,,
Political Science; Economics,Gender Studies,5/2017,,Intern,"Assist Ohio District 13 Representative in running her Columbus office; Craft memos, newsletters, and testimony; Work closely with Legislative Aides and Representatives in the coordination of legislation; Oversee constituent services",Director of Customer Service,Utilize TicketMaster technology to coordinate thousands of dollars in ticket sales; Employ strong interpersonal skills to navigate hectic game day box office,Election Judge,One of four Illinois State Scholars selected to serve in DuPage county polling places during the 2012 election; Promoted political participation by registering hundreds of thousands of voters; Worked with state officials to process Election Day ballots and preserve electoral integrity,,,,,
Actuarial Science,,5/2018,,Intern,Developed a database using ACT!; Researched and analyzed information pertaining to 500+ real estate agents in Excel; Compiled and entered data for hundreds of clients into the ACT! database,Deli Clerk  ,"Delegated tasks to colleagues to maximize efficiency; Problem-solved daily, to increase sales and customer satisfaction; Interacted positively with dozens of customers each day; Learned a comprehensive understanding of the deli without any prior knowledge; Awarded for outstanding customer service by store manager; Shared ever-changing responsibilities among colleagues and communicated effectively, to ensure productivity",Secretary,"Recorded minutes at each meeting to ensure effective record-keeping; Organized various aspects of the club, like correspondence from officers to more than 50 general members; Led and assisted at several student and advisor-run programs throughout each semester; Exceeded program requirements, including community service","Microsoft Office- including Excel and Access, Java, Act! Customer Relationship Management (CRM) Software",,,,
Mathematics,,5/2016,,Student Assistant,"Aiding in the process of timekeeping, creating new-hire packets, copying papers, and filing papers",Bookkeeper,"Organizing filing cabinets, reconciling statements, managing bank accounts, entering invoices, paying bills, managing QuickBooks, and doing payroll",Camp Counselor,"Certified in CPR, First Aid, Oxygen, worked with children around 5-7 years old, ensured and led safe activities daily, and made connections with campers",,,,,
Economics,,,,Student Administrative Assistant/Front Desk,Performed general office duties including copying and answering phones; Collaborated with other student workers on large projects,Clerk/Office Automation/Computer Assistant,Used software to find patterns in testing data; Assisted other workers to complete projects and make their job easier; Provided insight on various topics to ensure things were running smoothly,Sales Associate/Cashier,"Worked with fellow employees to provide excellent service to customers; Resourcefully aided patrons in finding items, providing input for their product selection; Professionally and courteously made customers feel welcome; unwavering positive attitude","Microsoft Office (Word, Excel, PowerPoint, Outlook) – proficient in all programs",,"ability to create, format, and edit a variety of documents/presentations with precision and creativity; Exceptionally strong and articulate written and verbal skills",,
Economics,,,,Courtesy Crew Member,Assist customers with packages and loading cars; Collect shopping carts; Clean break rooms as required;  Assist with stocking and unloading shipments,,,,,,,,,
Finance,,5/2015,,Wealth Management Senior Client Associate ,Selected for immediate assistance to Planning team; Analyzed clients’ finances to help with Portfolio Optimization for Adviser in charge of over $150 Million in assets; Designed an alternative framework for Financial Planning on Excel; identified discrepancies in previously conducted analysis; Presented analysis led by Financial Adviser to clients for asset allocation in interactive meetings; Helped clients transfer funds between different accounts as well as open new accounts; Documented changes in client profiles and trades for compliance; Conducted daily sensitivity analysis for changes in indexes and mutual funds among other financial instruments,Executive Assistant to Senior Advisor,Prepare client asset allocation for current funds; Formulate cost basis analysis for tax purposes; Interact with clients on daily basis,,,,,,,"Treasurer of student ogranization, prepare the annual budget of $200,000+"
Strategic Communications,,5/2017,,Account  Executive,Develop supplemental material for clients’ service; Create writings such as press releases; Ensure clients have a transparent execution of projects,Server,Provide unsurpassed customer service; Answer any questions regarding the products; Assist customers with ordering,Brand  Consultant,Blogged latest news via Instagram and Twitter; Photographed models and designers to bring relevance to Fashion Gallery NYFW; Ensured Fashion Gallery was seen in the best light,,Conversational in Spanish and Vietnamese,Social media savvy; Strong teamwork skills; ,,
Economics,History,12/2015,,Service Catalog Uploader,Create the metadata associated with uploading thousands of important historic digital files to a centralized national database through the Department of Interior for purposes of preservation and accessibility,Service Catalog Intern,"Worked and lived at more than 30 National Wildlife Refuges in Texas, Oklahoma, Arizona and New Mexico, gleaning, scanning and archiving historic biological reports, management plans, photos, maps, creating digital files, for purposes of preservation and accessibility; Interacted and collaborated with hundreds of managers, biologists, and administrators",Summer Maintenance,"Helped clean, paint, and rearrange classrooms at Colchester High School; Completed various landscaping tasks including mowing, weed-eating, and mulching","Proficient in Microsoft Word, Excel, PowerPoint; Adobe Pro; Epson Scanning; proficient with internet research",Intermediate French speaker,,,
Financial Mathematics,,5/2016,,Fixed Assets Intern,"Worked alongside team of senior accountants to complete 6 month-end and 2 quarter-end closes at a $500 million corporation; Assisted in balance sheet analysis to ensure validity of accounts and investigated/resolved variances; Prepared and submitted hundreds of month-end and quarter-end journal entries, each to be approved by senior leadership; Generated asset tracking reports and customer account statements through Oracle Financials and ORBIT databases; Used comprehensive understanding of Microsoft Excel in creating pivot tables, implementing macros, and utilizing lookup formulas to conduct analysis on monthly reports","Teaching Assistant, Introductory Accounting","Answer students questions regarding their incorrect exam solutions; Assist in the proctoring and grading of nearly 5,000 accounting exams each semester while ensuring zero tolerance for errors; Work closely alongside the course professor, as a senior administrative student-staff member, to complete organizational tasks",Customer Service Associate,Oversaw and assisted customers in the fulfillment of over 600 rental orders each week at Georgia’s largest rental boats chain; 2012 Most Valuable Associate Award for help in equipment maintenance and the promotion of customer satisfaction,"Windows OS, Mac OS, Linux OS (C++), Microsoft Office – Excel, Word, Outlook, PowerPoint, Oracle Financials, Microsoft Access, ORBIT",,"Efficient, Organized, Analytical, Team Oriented, Internal and External Communication",,"President of student organization and founded Annual Alumni Tournament, part of fundraising activities which raised disposable income from $800 to over $7,500 in first year"
Economics,Business,5/2016,,Wind Energy Purchasing Intern,"Created and launched a business process for adding new wind energy sourced parts to purchasing plans; Interacted with global suppliers from Belgium, Germany and India with regards to pricing, sourcing and shipping; Gained in depth understanding of the wind energy supply chain; Created and edited purchase orders using Microsoft Navision and SAP; Created and edited bill of materials in Microsoft Navision for part kits and assemblies",Purchasing and Planning Intern,Reviewed and prepared shipping priority level requirements; Analyzed shipment history in order to identify and resolve instances of overcharging; Assisted manager with sales data collection pertaining certain vehicles and parts and creation of presentations to aid meetings; Worked in tandem with other staff to implement a plan to address a part shortage; Worked on optimizing method of receiving shipments in the warehouse; Run data reports using Qlickview in order to provide other staff with needed information; Identified part orders needing air shipment and sent to managers for approval,,,"Microsoft Office Products, Microsoft Dynamics NAV, SAP, QlickView",,,,
Actuarial Science; Economics,German,5/2017,,Intern,Operated databases and worked with peers on projects,Barista,Provided quick and excellent service to customers,Camp Counselor,Collaborated with coworkers to foster an energetic environment; Led group activities and improvised when planned activities were ineffective,"Access, Excel, PowerPoint, Word, Experienced in R Statistical Software",,,"Advanced Calculus, Linear Algebra, Theory of Interest, Foundations of Accounting, Probability and Statistics",
Economics,Business,5/2017,,Seasonal Park Specialist 1  ,Maintained general upkeep of the 40 parks within the park district; Led the watering crew,,,,,"Proficient in Microsoft Word, Excel, Access, PowerPoint",,,,
Economics,Computer and Information Science,12/2016,,Part-time Teller,Log and process ATM deposits; Log and process night drops and day drops; Run daily processes in Teller21 window including withdrawals and deposits; Balance cash drawer daily; Balance cash vault,Office Clerk,"Generated Monthly Progress reports (Excel Spreadsheets) for Walmart lighting projects nationwide; Acted as a liason between independent electrial contractors, Electrical companies and Walmart's stores and corporate office.; Followed up on stagnant work orders and worked to get them completed; Looked into problematic work orders and worked at deriving solutions in order to avoid them in the future and apply similar strategies in other scenarios of the same nature",Quality Control Associate,Analyzed problematic coatings in the lab before they were ran on the production floor; Assisted on a production project with the Plant's Engineer and the Quality Assurance manager; Participated on a salvage project with the Plant's Engineer and the Quality Assurance manager; Examined returned defected coatings to discover the roots of the problems; Stored up to date records of experiments in log books and the company's computer system,"Excel, Word, Powerpoint, Teller21, CE Desktop",,,,
Political Science; Economics,Organizational Communication; Spanish for Business,12/2016,,Lead Caller,"Procured over $130,000 in donations through the course of 3 years on behalf of Ohio State; Fundraised in aid of University, Athletics, Stephanie Spielman Fund, Medical Center, Ross Heart Hospital, Veterinary Medical Center, the James Cancer Hospital, and further Ohio State affiliates; Trained over 50 Ohio State students about how to communicate with and fundraise on behalf of The Ohio State, hospital patients, student parents, athletes, and additional Ohio State affiliates; Developed connections with Ohio State alumni, provided information and updates about Ohio State, and reconnected alumni with the University",,,,,"Statistical programming, analysis, scraping, and visualization skills using R, Stata, Gephi, Many Eyes, Google Charts, Google Fusion Tables, OutWit Hub, and Microsoft Office","Fluent in English, Spanish, Russian",,,
Economics,,5/2018,,Server and Busser,Promoted from busser to server at earliest date available; Recieved employee of the month for May 2013; Trained more than 10 employees in either position,Academy Student,"Followed physicians, nurses, surgeons, pharmacists, medical research teams, secretaries and more to learn the intricacies of a livley and extensive hospital; Attained proper social skills for business by interacting with patients, workers and the CEO",Student Assistant,Developed time management skills through a restricting work and school schedule; Demonstrated adaptablity and flexability through skillful proficiency in various positions,"Microsoft Word, Excell, PowerPoint and Outlook, Adobe Photoshop, adept internet research and communication skills","Some French, spoken and written",,,
