Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Web Analyst,"Need of someone with analytics experience who can analyze data, create dashboards, conduct QA and play an analyst role. Primarily in need of an individual with expertise in Adobe/ Omniture Analytics (SiteCatalyst), including the creation of automated dashboards/ reports for end users, ad-hoc web analytics reporting, tag management and data validation. Individual will also be asked to provide training to employees on web analytics and related software. Individual will be responsible for providing web analytics reports, analysis, training and support for various projects related to the company's e-Commerce websites. Individual will be integrating web data with cross-channel marketing and customer data. Will also be tasked with developing web analytics implementation & optimization roadmap. The goal is to reduced web analytics reporting time by implementing report automation using Excel and other tools.",Career Employment – Graduating Students & Alumni,"Economics - Business, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Data Analytics, Economics, Mathematics, Statistics, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD","Required Skills: Adobe/ Omniture Web Analytics, SiteCatalyst, Online Marketing Suite, e-Commerce Websites, Web Analytics Reporting, QA, Dashboards, Ad-Hoc Reporting, Tag Management & Data Validation. Google Analytics is plus"
Business Development Representative,"Imagine if you could impact a company’s bottom line every day you went to work? At NetSuite you can. 

Our company was founded on the big idea that we could build one integrated business application suite, delivered online, to enable organizations to be more successful. And that is exactly what we do today—solve business problems for companies around the globe. We are years ahead of the competition and continue to experience phenomenal growth – 30% year over year. 

Are you a proactive, self-motivated person seeking a high energy, competitive environment to kick-start your career in sales? If so, we want you to join our team. 

What we have to offer:

Our Business Development Representative (BDR) Program prepares entry level candidates for an exciting and rewarding career at NetSuite. The 12-18 month program focuses on building product knowledge and developing sales skills through training and development. We are looking to hire our next superstar sales representative or account manager and continue to build a culture of promoting from within. During the program, will make immediate contributions to the organization by:

• Qualifying and producing quality leads for the Account Executives
• Interacting by phone and email with key personnel up to, and including, C-Level executives
• Analyzing prospect business needs, understanding processes, identifying projects, determining requirements and ascertaining potential solutions
• Acquiring and maintaining a working knowledge of the complete capabilities of NetSuite's solution from multiple perspectives – support, professional services, client management and sales
• Working on ad hoc projects for various departments within the organization

If successful in the BDR role, it is expected that you will be promoted into the NetSuite sales organization with a potential 50-100% increase in income. 

Why this is a (really) great opportunity:

There are too many reasons to list, so let’s start with four:

1)	We have awesome leadership who truly cares about your success and who you can trust to guide you through your career.
2)	We have a vision that we are passionate about: to provide a web-based business management solution with all the power of traditional applications at a fraction of the cost. We trail blaze in everything we do, we “take the hill,” and we are committed to both our customers and our employees.
3)	You will get training and autonomy: NetSuite provides a unique, hands-on learning opportunity that will help give you a competitive edge early in your career.  
4)	We are fun (no seriously, we are.): NetSuite is built on a culture of teamwork and innovation. Team work + innovation + awesome people = fun.",Career Employment – Graduating Students & Alumni,Undergraduate Majors,"What we need from you: 

• BA/BS from top tier college/university
• Intelligent, motivated and competitive with a “roll-up-the-sleeves” and “get the job done” attitude
• Well-rounded individual with varied interests and experience
• Excellent communication (verbal, written, and presentation) and interpersonal skills (outgoing and personable)
• Thrive on working in a fast-paced environment
• Strong work and/or internship experience; accounting background a plus
• Effective when working independently and in team environments
• Receptive to constructive criticism
• Strong business judgment and common sense
• Desire to work in tech industry with a growing company"
Student Programming Assistant,"Sustainability Programming Assistant 

•	Department: Office of Student Life, Energy Management & Sustainability
•	Hours: 8 - 12 per week average, 38 hours per week during summer
•	Location: 6th Floor Lincoln Tower
•	Rate: $8.86 per hour to start, additional increases based on merit & budget
•	Openings: 1 
•	Work Study: Accepted, but not required
Description:
The Sustainability Programming Assistant  reports to the Program Manager of Sustainability in the Office of Student Life.
 Assist with the following tasks:
•	Marketing, assessment, and program management of various sustainability initiatives including:  Green Buckeye Program, “Earth Day” month and general interest educational programs, and competitions to promote recycling, energy and water conservation.
•	Build content for department’s website and other social media platforms, including taking photographs and writing short stories about campus events and initiatives.
•	Establish working relationships with student sustainability leaders across campus and serve as a liaison between our office and their organizations.
•	Research of best practices for sustainability at universities at the national level.
•	Other administrative tasks as assigned

Learning outcomes from employment within our office:
By participating in this internship, students will:
1.	Gain hands-on, practical application of theories and concepts learned in the classroom, and applying these theories to help move the University forward in its sustainability mission.
2.	Track sustainability trends and make recommendations for improvement.
3.	Develop and deliver presentations to a wide variety of audiences, including the possibility of presenting at regional and national conferences, using various media.
4.	Participate in planning exercises for the department; serve as a member of an energetic, dynamic team.

Additional Student Life learning outcomes:
•	Customer Service/Communication: Purposeful and prepared development and expression of ideas through writing (in varying medias) and verbal presentations to impact the audience's perceptions, attitudes, beliefs, behaviors.
•	Technology Awareness and Use: Intimate knowledge of technology, that allows one to create or fully utilize tools, machines, software, systems, etc. available to articulate an idea, solve a problem, or perform a specific function.
•	Decision Making/Problem Solving: Process of designing, evaluating and implementing a strategy to answer an open-ended question or achieve a desired goal in a timely manner.
•	Teamwork: Behaviors under the control of individual team members performed to benefit the team.
•	Leadership: Ability to establish a vision, unite others around a cause, motivate others to action, hold the self and others accountable, and deliver results which align with the goal and vision of department.
•	Organizational Skills: Ability to establish structure around tasks to ensure completion, manages balance between work, life, and school, and track work flow.
•	Respect for Diversity: Showing regard, respect and tolerance of individuals who come from different cultural contexts or embody different life experiences.",Student Employment – On Campus,All Majors,"•	Enrolled fulltime at OSU at least two (2) semesters per year, in good academic standing (at least a 2.0 GPA) in a related major or field.
•	Interest in sustainability demonstrated by area of study, participation in student organizations, community service or other similar activities.
•	Experience coordinating, organizing, and implementing projects, programs and events. 
•	Strong personal organizational skills with ability to handle multiple tasks in a team environment and to work independently and be detail oriented. 
•	Experience in using computers; knowledge of Microsoft Office suite (Word and Excel); experience with Internet use; ability to learn new software packages.
•	Excellent written and oral communication skills and ability to use various modern media tools. 
•	Experience using problem-solving skills and ability to remain calm under pressure."
Ascend Consultant - Functional,"About Us

Appirio is a global services company that helps customers compete and win in the cloud economy. As the leader in enterprise crowdsourcing, we deliver unmatched customer value by combining the world’s top talent with a unique cloud services platform. Our platform harnesses the power of one of the world’s largest crowdsourcing communities, thousands of ready to deploy assets, and leading cloud, industry and technical experts, to help our customers drive competitive advantage. Appirio is a trusted partner to some of the world’s largest brands, including Cardinal Health, Coca-Cola, eBay, Facebook, Georgia-Pacific, Home Depot, Moen, and Sony PlayStation.

About the Ascend Program

Start a career that’s as unique as you! Appirio’s Ascend Program is dedicated to the growth and enhancement of our team, transforming today’s rising consultants into tomorrow’s leaders.  Ascend is a three-month program beginning June 2016 where you are immersed in the Appirio values of Customer, Team, & Fun and get hands on experience on what it means to be a truly Innovative and Expert Technology Consultant with a global services company.

Brief Summary of Role

Here are just a few of the things you’ll discover in the Ascend Program:
The Appirio Way implementation methodology
Customer Centricity
Project lifecycles
Project roles (i.e. Business Analyst, Tech Lead, Quality, PM)
Overview of Appirio partners and technologies
Powering projects with topcoder",Career Employment – Graduating Students & Alumni,"Lic: Technical Education and Training, Undergraduate Majors, Psychology, Communication, Mathematics","Education and Required Experience

Bachelor’s degree in Informatics, Management, HR, Finance, Consulting, Marketing, Business, Communication, MIS, Instructional Design, or equivalent
Experience related to major gained through an internship; prefer business or technology focused internships
Proven ability to solve problems and think creatively to develop solutions
Passion for working with people and driven by customer success
Strong written & verbal communication skills
Ultimate team player
Enthusiastic, professional, & confident personality
Excellent listening skills to evaluate customer needs and translate into solutions that work
Ability to travel up to 25% or interest in traveling in the future
Experience with cloud-based technology such as Salesforce.com, Concur, Workday, Docusign, Cornerstone OnDemand, or similar systems preferred
Only May 2016 graduates will be considered 
Not eligible for visa sponsorship"
Junior Software Developer or Application Support Analyst,"Do you thrive in fast-paced technical environments and have a strong attention to detail? Are you eager to have a career where you are encouraged to meet your potential and have the opportunity to work for a prestigious company with an impressive global presence?  
FDM is currently seeking a number of ambitious and driven candidates with the aptitude for IT to work as FDM Consultants in Columbus with our top clients, many of which are in the banking and financial services industry. 
FDM is a global IT and business services provider with a dedication to technical excellence and professional development. Our award-winning training program helps build the required skills needed to become a successful IT Specialist. As an FDM Consultant, you enter the industry at a high level, already trained to our clients’ specific systems and technologies.

Prior to working with our clients in the Columbus area, your training will take place at FDM’s state of the art center at 14 Wall Street in New York City. Successful candidates will receive intense technical and professional training (10-16 weeks) in Manhattan through our award-winning Academy. FDM will provide assistance for relocation and accommodation during the training weeks. 

Fast-track career progression is a key focus of FDM, and our program will put you on a pathway that could lead into leadership roles working within multinational organizations.",Career Employment – Graduating Students & Alumni,"Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Computer Science and Engineering, Electrical and Computer Engineering, Data Analytics, Mathematics, Computer and Information Science, Statistics, Mathematical Sciences - MMS, Geodetic Science, Mathematics - MS & PhD, Physics","•	4 year degree (preferably in Computer Science, IT, Engineering, Mathematics, or similar)
•	A strong aptitude in IT and the interest and drive to expand your IT skill set
•	Excellent communication and interpersonal skills 
•	A problem solver with a keen eye for detail
•	A desire to work at a large financial firm and ability to increase your financial knowledge
•	Able to engage yourself in a project and enjoy the challenges and processes involved
•	Flexible, eager, ambitious, and adaptable to change
•	Able to commit to work for FDM for a minimum of two years
•	Eligible to work in the US 
•	Available to be relocated to NYC during the full duration of the training (ranges from 10-16 weeks, depending on the stream)"
NSA Summer 2016 STEM Internships,"If you are looking for that one-of-a kind summer internship opportunity and you possess imagination, initiative, and intellectual curiosity, then the National Security Agency (NSA) is the place for you!  NSA offers a wide variety of exciting summer internship opportunities to students majoring in, but not limited to, the following areas: Computer Science, Computer Engineering, Electrical Engineering, Cyber Security, Mathematics, Statistics, and MANY others (please see postings below).

All of our internships are paid a salary commensurate with the applicant’s education level.  Internships are approximately 12 weeks in length during the summer and are located in the Baltimore, MD/Washington, DC area.

Please visit www.nsa.gov/careers to apply and to get more information and additional requirements/qualifications

Application Deadline
Most ads are open from September 1st – October 31st.  PLEASE NOTE: some have a closing date October 15th which are annotated below.
Basic Qualifications for all programs (see job posting for additional qualifications)
Must be a U.S. Citizen
Must be eligible to be granted a security clearance
GPA of 3.0 or higher is preferred.
Must be available for an operational interview and other applicable processing between the months of December 2015 and March 2016

Benefits for all Programs
Students are paid a competitive salary commensurate with their education level.
Receive annual leave, sick leave, and paid federal holidays
Students who attend schools in excess of 75 miles from Ft. Meade, MD are eligible for a round trip airfare ticket to and from school or mileage reimbursement up to the cost of a government-issued airline ticket.
Subsidized housing accommodations are available upon request if school is located in excess of 75 miles from NSA main HQs campus

Internship Programs


October 15 Deadline:

Director’s Summer Program (DSP)/ Cryptanalysis and Exploitation Services Summer Program (CESSP) – Job ID# 1062630
Majors: Mathematics.  *Computer Science and Physics majors with either a minor in math or a strong math curriculum may also apply

Graduate Mathematics Program (GMP) – Job ID #1062631
Note: Posting closes October 15
Majors: Graduate level Mathematics and Statistics

October 31 Deadline:

Computer Science Intern Program (CSIP) – Job ID# 1063152
Majors: Computer Science or closely related disciplines

CAE in Cyber Operations Summer Intern Program – Job ID# 1063163
Must be majoring in Computer Science, Computer Engineering, Electrical Engineering or a related discipline.

Cyber Summer Program (CSP) – Job ID# 1063089
Majors: Computer Science, Engineering, Mathematics, Network Security, and Information Assurance

Data Center Management (DCM) – Job ID# 1063154
Must major in Computer Science, Electrical Engineering, Mechanical Engineering, or Information Systems Management

Installation and Logistics Intern Program (I&L) – Job ID #1063153
Majors: Engineering, Construction Management, Supply Line Management, Business Management, or a related Facilities/Logistics field)

Signals Intelligence Collection Program (formerly Cryptologic Access Program)– Job ID #1063151
Majors: Students majoring in technical fields such as Computer Science, Electrical and Computer Engineering, Physics, or Math are preferred

Summer Intern Program for Information Assurance (SIP/IA) – Job ID #1063155
Must major in one of the following academic disciplines (with concentration in Information Assurance): Biometrics, Computer/Electrical Engineering, Computer Science, S/W Engineering, Cyber Security, Operations Research, Computer Forensics, Network Security, Computer Networking, Information Assurance/Security

Summer Intern Program for Science and Technology (SIP/ST) – Job ID# 1063090
Majors: Computer Science, Computer, Electrical, Computer Systems, Network, or Mechanical Engineer, Telecommunications

Summer Program for Operations Research Technology (SPORT) – Job ID# 1063088
Must be enrolled in a M.S. or Ph.D.  program and have the skills to do Operations Research modeling.

Security & Counterintelligence Summer Intern Program- Job ID #1063164
Majors in Criminal Justice, International Relations, Political Science, Computer Forensics, and Cyber Security are preferred



How to Apply:

NSA has a rigorous application process for all applicants.  All applicants must submit a resume to NSA using our online application system at www.NSA.gov/Careers. In addition, please look at each internship on our website in order to ensure that all required information is submitted in order for your application to be considered complete. To find the internship of interest please:
-  Click on Job Search/Apply Online
-  Type the name of the internship program of interest or the job number into the keywords box and click on the SUBMIT button
-  Select the internship of your choice and click Apply.",Internship,"Health Information Management and Systems, Logistics Management, Operations Management, Insurance, PhD Business Administration, Master of Business Logistics Engineering, Executive Master of Business Administration, Master of Business Operational Excellence, Working Professional MBA, Undergraduate Majors, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Graduate Programs, Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Geodetic Science, Actuarial Science, Anthropological Sciences, Astronomy and Astrophysics, Atmospheric Sciences, Physics, Biochemistry, Chemistry, Geographic Information Sciences, Geography, Mathematics, Earth Sciences, Computer and Information Science, Mathematical Sciences - MMS, Anthropology, Astronomy, Atmospheric Sciences, Biochemistry, Biophysics, Chemical Physics, Chemistry, Earth Sciences, Geodetic Science, Geography, Mathematics - MS & PhD, Physics","Must be a U.S. Citizen
Must be eligible to be granted a security clearance
GPA of 3.0 or higher is preferred.
Must be available for an operational interview and other applicable processing between the months of December 2015 and March 2016"
Research Interviewers/Ethnographers,"SmartRevenue (http://www.smartrevenue.com) is a market research company co-founded by anthropologists that brings together social science research methodologies, innovative technology, and highly skilled researchers.  SmartRevenue ethnographers comprise a national network of consultants who work on a project-by-project basis conducting in-store interviews and recording detailed ethnographic observations. Our ethnographers are trained in SmartRevenue methods & protocols as well as any project, and retailer specific procedures.
 
We are currently seeking applicants with ethnographic research experience or training to work on projects fielding in the Columbus area. Applicants should have formal interviewing or fieldwork experience as well as a graduate degree or graduate standing in a social science program. Applicants should be available to work a mix of weekdays and weekends, but weekend availability is ideal. SmartRevenue always has a variety of projects fielding nationwide, so this can develop into a reliable source of supplemental income.
 
Please respond to this posting with a resume and cover letter.",Student Employment – Off Campus,"Lic: Technical Education and Training, Human Development and Family Science, Human Development and Family Science, Educational Studies, Social Work, Social Work, East Asian Studies, Latin American Studies, Slavic and East European Studies, Human Resources, Master of Human Resource Management, PhD Labor and Human Resources, Geodetic Science, Anthropological Sciences, Anthropology, Astronomy and Astrophysics, Philosophy, Atmospheric Sciences, Physics, Biochemistry, Chemistry, Psychology, Classics, Sociology, Communication, Comparative Studies, Criminology, World Literatures, Globalization Studies, Geographic Information Sciences, Sexuality Studies, Geography, History, History of Art, International Studies, Islamic Studies, Jewish Studies, Linguistics, Mathematics, Medieval and Renaissance Studies, African-American and African Studies, Earth Sciences, Ancient History and Classics, Women's Gender and Sexuality Studies, Mathematical Sciences - MMS, Anthropology, Women's Gender & Sexuality Studies, Astronomy, Atmospheric Sciences, Biochemistry, Biophysics, Chemical Physics, Chemistry, Classics, Communication, Comparative Studies, Earth Sciences, English, Geodetic Science, Geography, History, History of Art, Linguistics, Mathematics - MS & PhD, Philosophy, Physics, Psychology, Sociology, African-American and African Studies",We are currently seeking applicants with ethnographic research experience or training to work on projects fielding in the Columbus area. Applicants should have formal interviewing or fieldwork experience as well as a graduate degree or graduate standing in a social science program. We will consider undergraduates with supporting academic or work experience.
Portfolio Operations Associate,"The Portfolio Operations Associate will join a growing portfolio operations team, working in a dynamic environment under the supervision of the Manager of Portfolio Operations.  The Portfolio Operations Associate will be exposed to a full range of portfolio operations activities including, but not limited to, account reconciliation, performance composites, corporate actions, proxy voting and settlements.

Essential Responsibilities:
• Review daily/monthly outsourced reconciliation reports.
• Review composite maintenance and performance.
• Maintain the data integrity of the portfolio accounting system, Advent Geneva.
• Identify and accurately process voluntary corporate actions and communicate internal elections relating to optional corporate actions.
• Contribute to the proxy voting process.
• Analyze and resolve trade settlement issues in multiple markets.
• Monitor the daily automated pricing process.
• Complete quarterly client billing.

Requirements:
• Bachelor’s degree, preferably in Finance, Economics or another quantitative field
• Knowledge of the investment industry
• Keen quantitative skills 
• Ability to express oneself clearly
• Ability to multi-task with attention to detail
• Proficiency in the Microsoft Office Suite, specifically Excel 

Compensation:
• A compensation package that includes a competitive base salary, an annual bonus plan based on firm and personal performance and a long-term incentive plan 
• Comprehensive benefits package",Career Employment – Graduating Students & Alumni,"Economics - Business, Finance, Economics","• Bachelor’s degree, preferably in  Finance, Economics or another quantitative field
• Knowledge of the investment industry
• Keen quantitative skills 
• Ability to express oneself clearly
• Ability to multi-task with attention to detail
• Proficiency in the Microsoft Office Suite, specifically Excel"
Logistics Trainee Program,"Ferguson is looking for an entrepreneurial type college graduate who is seeking a professional long term career to begin as a Logistics Trainee in one of our Distribution Centers around the country.  The ideal candidate must possess a strong work ethic, diverse communication skills, a drive to succeed, confidence, trustworthiness, attention to details, and the willingness and ability to take the initiative.  If this is you, we just might be the company you are looking for.

Logistics training includes a basic introduction into how business operations and logistics play a key role in business success. Some of the key areas that you will learn during your training include supply chain management, information systems, order processing, warehousing, sourcing, logistics management, and much more. You will also be exposed to key issues in transportation logistics, including understanding how to minimize transportation costs, and how to calculate the ""landed"" cost of delivered products.

Upon completion of the program, there will be an opportunity to move into a supervisor or management role in a distribution center or branch warehouse.

Distribution Center (DC) Locations:
Frostproof, FL
Fort Payne, AL
Fulton, MS
Front Royal, VA
McGregor, TX
Mira Loma, CA
Richland, WA
Stockton, CA
Celina, OH
Waterloo, IA
 
More information about Ferguson can be found at www.ferguson.com. 

Please apply online for this opportunity at:
https://sjobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25371&siteid=5330&AReq=13138BR     

The Company is an equal opportunity employer as well as a government contractor that shall abide by the requirements of 41 CFR 60-300.5(a), which prohibits discrimination against qualified protected Veterans and the requirements of 41 CFR 60-741.5(A), which prohibits discrimination against qualified individuals on the basis of disability.",Career Employment – Graduating Students & Alumni,"Undergraduate Majors, Undergraduate Majors","Our minimum requirements are a Bachelor’s Degree in Business or Liberal Arts, an interest in logistics/wholesale distribution, and a willingness to relocate to one of our DC locations.  APPLY TODAY!"
Purchasing Trainee Program,"Ferguson is looking for entrepreneurial type college graduates who are seeking a long term career to begin as Purchasing Trainee in Tampa, FL.  The ideal candidate must possess a strong work ethic, excellent customer service skills, ability to meet deadlines drive to succeed, confidence, trustworthiness, attention to detail, and the willingness and ability to take the initiative.  If this is you, we just might be the company you are looking for.   

The Purchasing Training Program is a 10-12 month program designed to educate, develop, and retain talented purchasing trainees. Once on-board, new associates start in a location where they complete a training program designed to develop knowledge, skills, and abilities as purchasing associate.  The training curriculum includes warehouse, counter sales, quotations and inside (contractor) sales. 

Upon completion of the Purchasing Training Program, purchasing associates will be responsible for procurement, negotiations, supplier selection management and assisting in new account implementations nationwide.  Typical job duties include: developing and maintaining customer relationships, preparing job quotes and providing accurate pricing/inventory information.
 
More information about Ferguson can be found at www.ferguson.com. 

In order to be considered for our training programs, you must apply online with Ferguson.

Please do so by copying and pasting the ENTIRE link into your browser address bar:
https://sjobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25371&siteid=5330&AReq=13138BR

The Company is an equal opportunity employer as well as a government contractor that shall abide by the requirements of 41 CFR 60-300.5(a), which prohibits discrimination against qualified protected Veterans and the requirements of 41 CFR 60-741.5(A), which prohibits discrimination against qualified individuals on the basis of disability.",Career Employment – Graduating Students & Alumni,"Undergraduate Majors, Undergraduate Majors",Our minimum requirements are a Bachelor’s Degree in either Business or Liberal Arts and an interest in purchasing and operations.  APPLY TODAY!
2016 Quantitative Finance Summer Associate Program,"ABOUT US: At Morgan Stanley, the Quantitative Finance Division consists of Desk Strategists, Modelers, and Electronic Market Making Quants. These all provide revenue-generating activities that are centered on financial analytics, and they provide critical support for businesses across the Firm. 

The Quantitative Finance Division crunches the numbers that create change. The work is fast-moving and market-driven. Project-based teams within the program provide quantitative solutions for many of the Firm’s businesses. These positions require the ability to think analytically and strategically on both immediate and longer-term questions.

PROGRAM DETAILS: The intensive 10-week Quantitative Finance Summer Associate Program is designed to help interns explore opportunities in our division by working with full-time professionals. The program features market knowledge training, desk placement projects with equity and/or fixed income products, management presentations, workshops, networking events and regular review meetings. 

Interns will be assigned to a specific team, and will work alongside accomplished professionals on an impactful project for their team, while also being given the exposure to learn about the activities of other teams throughout the duration of the program. Interns receive individual coaching and continuous feedback, enabling them to understand what a long-term career at the Firm entails.

ROLES ON OUR TEAMS: 

Within the Quantitative Finance Teams, there are three roles Analysts/Associates can assume: Desk Strategists, Electronic Market Making Quants, & Modelers. Responsibilities will vary depending on role, and are listed below:

•	Desk Strategists provide quantitative support to the trading and sales desks to drive trading decisions, analyze and manage the risk. They also deliver pricing and marking models, and create trader and sales efficiency tools.
•	Electronic Market Making Quants create and back-test market making strategies for global exchanges. They use state of the art forecasting methods to model price dynamics over many different time horizons. These models are used by the groups of low latency trading engines and inventory management systems.
•	Modelers create market models to take and manage risk. They also develop and analyze investment and trading strategies
•	
**NOTE: There is only ONE application for the program. The team/role an intern is assigned to is determined if/when the candidate is selected for interviews. **",Internship,"PhD Accounting and Management Information Systems, PhD Business Administration, Computer Science and Engineering, Industrial and Systems Engineering, Mathematics - MS & PhD, Physics","-	Applicants must be completing their degree during/after December 2016
-	You are pursuing a PhD (or other advanced degree) in a quantitative subject such as Mathematics, Financial Mathematics, Physics, Engineering, Quantitative Finance or Computer Science.
-	You have strong mathematical academic training.
-	You have excellent programming skills.
-	You have a keen interest in financial markets.
-	You have the drive and desire to work in an intense team-oriented environment."
2016 Quantitative Finance Summer Analyst Program,"ABOUT US: At Morgan Stanley, the Quantitative Finance Division consists of Desk Strategists, Modelers, and Electronic Market Making Quants. These all provide revenue-generating activities that are centered on financial analytics, and they provide critical support for businesses across the Firm. 

The Quantitative Finance Division crunches the numbers that create change. The work is fast-moving and market-driven. Project-based teams within the program provide quantitative solutions for many of the Firm’s businesses. These positions require the ability to think analytically and strategically on both immediate and longer-term questions.

PROGRAM DETAILS: The intensive 10-week Quantitative Finance Summer Analyst Program is designed to help interns explore opportunities in our division by working with full-time professionals. The program features market knowledge training, desk placement projects with equity and/or fixed income products, management presentations, workshops, networking events and regular review meetings. 

Interns will be assigned to a specific team, and will work alongside accomplished professionals on an impactful project for their team, while also being given the exposure to learn about the activities of other teams throughout the duration of the program. Interns receive individual coaching and continuous feedback, enabling them to understand what a long-term career at the Firm entails.

ROLES ON OUR TEAMS: 

Within the Quantitative Finance Teams, there are three roles Analysts/Associates can assume: Desk Strategists, Electronic Market Making Quants, & Modelers. Responsibilities will vary depending on role, and are listed below:

•	Desk Strategists provide quantitative support to the trading and sales desks to drive trading decisions, analyze and manage the risk. They also deliver pricing and marking models, and create trader and sales efficiency tools.
•	Electronic Market Making Quants create and back-test market making strategies for global exchanges. They use state of the art forecasting methods to model price dynamics over many different time horizons. These models are used by the groups of low latency trading engines and inventory management systems.
•	Modelers create market models to take and manage risk. They also develop and analyze investment and trading strategies
•	
**NOTE: There is only ONE application for the program. The team/role an intern is assigned to is determined if/when the candidate is selected for interviews.",Internship,"Health Information Management and Systems, Economics - Business, Finance, Information Systems, General Business, Executive Master of Business Administration, Computer Science and Engineering, Electrical and Computer Engineering, Engineering Physics, Industrial and Systems Engineering, Computer Science and Engineering, Electrical and Computer Engineering, Industrial and Systems Engineering, Data Analytics, Mathematics, Computer and Information Science, Mathematics - MS & PhD","-	Applicants must be completing their degree during/after December 2016
-	You are pursuing a Bachelor’s or Master’s degree in a quantitative subject such as Mathematics, Financial Mathematics, Physics, Engineering, Quantitative Finance or Computer Science.
-	You have strong mathematical academic training.
-	You have excellent programming skills.
-	You have a keen interest in financial markets.
-	You have the drive and desire to work in an intense team-oriented environment."
 Team Lead,"We are leading trends in the insurance industry with development and sales strategies to individuals and businesses.  This opportunity will allow you to innovate and design strategies on your own time and flexibility.  Further development available if interested in direct sales.

Video Production (youtube) experience preferred. Create and develop new styles of customer presentations and communication tools with excel, power point, work, social media account management and video production.  We are looking for innovative individuals looking to learn and help disrupt the insurance market.",Internship,"Consumer and Family Financial Services, Accounting, Economics - Business, Finance, Master of Accounting, Master of Business Administration, Master of Finance –Specialized, Economics, Mathematics, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD","Excel, Word, PowerPoint, YouTube, Social Media Account Management"
Financial Professional at AXA Advisors,"This is not easy work. We come in every day, challenged. We are doing really big things. Every day is an opportunity to help change someone’s life. As a financial professional you must be passionate about educating and bringing financial awareness to our local communities. Our sole purpose is to empower clients and give them the financial tools and knowledge to make the best decisions for themselves and their families through all stages of life. You will learn the ropes of financial needs analysis and financial management. And through helping both individuals and businesses, your entrepreneurial skills are always put to the test. 

GO PLACES @ AXA. 
You don’t need to have a finance or economics degree to be a successful financial professional. At AXA Advisors, training is a process not an event. You have options. Everyone starts as one team, training together from the ground up. Within a short time the opportunities can go as far as you want to take them. Want to become a team leader? You can enter into the Potential District Management program to sharpen your leadership skills and work towards becoming a Vice President of your own district. Want to partner with a ‘seasoned’ producer? You can become a jr partner at one of our exclusive producer groups. Want to be the ultimate entrepreneur? You can build your practice yourself with your own flexibility….all with the backing of one of the largest companies in the world. In fact, we just ranked on Forbes most valuable companies list. 

ENJOY THE BENEFITS OF WORKING HERE. 
Not only do we offer stellar health benefits and retirement savings options we also give you the tools you need to succeed in this business and in life. We hold trainings on a weekly and monthly basis that give you up to date info on the industry mixed with practical tools to be used when meeting with clients and prospects. We pair you with a mentor who has a proven track record for success and will help you every step of the way. AND of course we always find time to hang out and ""do life"" together: sporting events, happy hours, trips all over the country, community service, BBQSoftball tournaments, to name a few. 

LEARN FROM THE BEST. 
In the past 7 of 9 years we have won the coveted AXA Advisors President’s Trophy. This is a team effort that can only be won by an office that has everything in place for success. What does that mean for you? You are coming into an office that is a top performer with a support staff and group of advisors who work hard and know what it takes to make things happen. You instantly become a part of a winning team! With all of our management team not far out of college, you will instantly have a confidant that was not in your shoes long ago. They understand how to reach career goals….fast. 

COOL & PROFESSIONAL. 
We enjoy the sun year round. With our branch office in sunny Scottsdale, AZ, we have the chance to work hard AND play hard in one of the best cities in the country. 

WHY WE EXIST. 
AXA Southwest Branch Mission (what we do): 
• We help clients achieve their dreams. 
• We enhance the lives of our people. 
• We enrich our community. 

AXA Southwest Branch Operating Principles (how we do it): 
1. We build long-term client relationships by earning their trust, planning their financial futures, and protecting their families. 
2. We provide innovative ideas and industry leading advice. 
3. We perform impactful work. 
4. We promote professional development. 
5. We offer and support entrepreneurial opportunities. 
6. We work with discipline, purpose, and a passion for excellence. 
7. We recognize achievement and celebrate our successes together. 
8. We lead our community in social responsibility.",Career Employment – Graduating Students & Alumni,"Consumer and Family Financial Services, Undergraduate Majors, Accounting, Economics - Business, Finance, Marketing, Graduate Programs, Master of Accounting, Master of Business Administration, Master of Finance –Specialized, Any Major, Communication, Economics, English, Journalism, Mathematics, Mathematical Sciences - MMS, Communication, Economics, English, Mathematics - MS & PhD","• Results-driven, highly motivated, self-starter who possesses integrity, a strong work ethic and the desire to help others plan for and protect their financial futures.
• Team player who possesses excellent interpersonal skills and communication abilities, with a high degree of self-confidence.
• Ability to draw upon past/present experiences and acquaintances to develop markets and build upon them to sustain long-term relationships.
• Must be authorized to work in the United States
• A four-year college degree is preferred and relevant professional FINRA securities registrations are a plus. If you do not have the following, you will be required to attain them, under the sponsorship(1) of AXA Advisors: state life and health licenses, FINRA Series 7 and 66 registrations.
• MBA, JD, CFP®, CPA or ChFC, a plus."
